,id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,mths_since_last_delinq,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type,year
7,38656067,41439872,26500,26500,26200.0,36 months,19.99,701.95,E,E3,< 1 year,RENT,78000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,13.71,0,01/03/2001,0,43,10,37,0.0,0.0,4182.27,4134.92,1197.35,2984.92,0.0,0.0,0.0,01/08/2021,701.95,01/01/2022,0.0,1,INDIVIDUAL,2021
56,38654836,41438603,11200,11200,11200.0,60 months,16.49,275.29,D,D3,3 years,RENT,94000.0,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,26.95,0,01/04/1997,1,31,16,36,0.0,0.0,1906.51,1906.51,885.52,1020.99,0.0,0.0,0.0,01/08/2021,275.29,01/01/2022,0.0,1,INDIVIDUAL,2021
83,38645937,41429742,1325,1325,1325.0,36 months,17.14,47.34,D,D4,< 1 year,MORTGAGE,28000.0,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,38.66,0,01/11/2001,0,26,18,28,0.0,0.0,282.78,282.78,176.69,106.09,0.0,0.0,0.0,01/07/2021,47.34,01/01/2022,0.0,1,INDIVIDUAL,2021
90,38645713,41429516,8150,8150,8150.0,36 months,19.99,302.85,E,E3,10+ years,RENT,34000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,23.4,0,01/04/1990,0,31,8,13,0.0,0.0,1808.05,1808.05,1045.2,762.85,0.0,0.0,0.0,01/07/2021,302.85,01/12/2021,0.0,1,INDIVIDUAL,2021
117,38644867,41428644,7000,7000,7000.0,36 months,12.99,235.83,C,C2,2 years,RENT,70000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,13.12,1,01/05/2009,2,18,9,19,0.0,0.0,1654.14,1654.14,321.84,139.72,0.0,1192.58,214.6644,01/03/2021,235.83,01/08/2021,0.0,1,INDIVIDUAL,2021
138,38644180,41427896,14000,12000,14000.0,36 months,7.49,435.43,A,A4,< 1 year,RENT,140000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,16.6,9,01/08/1989,0,16,10,28,0.0,0.0,1294.64,1294.64,1056.35,238.29,0.0,0.0,0.0,01/04/2021,435.43,01/01/2022,0.0,1,INDIVIDUAL,2021
149,38635990,41419794,35000,12000,35000.0,36 months,14.31,820.03,C,C4,10+ years,MORTGAGE,140000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,15.55,0,01/05/2002,0,31,12,22,0.0,0.0,4113.33,4113.33,2061.87,2010.46,41.0,0.0,0.0,01/07/2021,861.03,01/12/2021,0.0,1,INDIVIDUAL,2021
190,38634659,41418418,16000,16000,16000.0,60 months,12.99,363.97,C,C2,1 year,RENT,95000.0,Source Verified,2021-01-01,Charged Off,n,home_improvement,13.13,1,01/02/2001,1,8,14,31,0.0,0.0,1432.79,1432.79,775.56,657.23,0.0,0.0,0.0,01/05/2021,363.97,01/01/2022,0.0,1,INDIVIDUAL,2021
209,38626372,41410175,3000,3000,3000.0,36 months,15.59,104.87,D,D1,8 years,RENT,25000.0,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,34.28,0,01/10/1996,0,31,9,17,0.0,0.0,521.75,521.75,338.15,183.6,0.0,0.0,0.0,01/06/2021,104.87,01/12/2021,0.0,1,INDIVIDUAL,2021
314,38615516,41399301,11200,11200,11200.0,60 months,20.99,302.94,E,E4,5 years,RENT,35000.0,Source Verified,2021-01-01,Charged Off,n,credit_card,11.8,0,01/09/2011,1,31,8,8,0.0,0.0,2884.14,2884.14,326.75,555.95,0.0,2001.44,360.2592,01/04/2021,302.94,01/09/2021,0.0,1,INDIVIDUAL,2021
336,38614969,41398737,3825,3825,3825.0,36 months,17.14,136.64,D,D4,4 years,RENT,58000.0,Not Verified,2021-01-01,Charged Off,n,other,14.92,0,01/07/2001,1,71,9,24,0.0,0.0,949.2,949.2,599.24,349.96,0.0,0.0,0.0,01/08/2021,136.64,01/01/2022,0.0,1,INDIVIDUAL,2021
362,38606529,41390334,9650,9650,9650.0,36 months,16.49,341.61,D,D3,2 years,RENT,36000.0,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,17.93,0,01/05/2003,2,31,5,11,0.0,0.0,2382.43,2382.43,1524.73,857.7,0.0,0.0,0.0,01/08/2021,341.61,01/01/2022,0.0,1,INDIVIDUAL,2021
395,38605667,41389451,7650,7650,7650.0,36 months,13.507328482328484,278.65,E,E1,3 years,RENT,50000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,17.83,0,01/09/2006,2,31,16,22,0.0,0.0,1664.02,1664.02,1000.71,663.31,0.0,0.0,0.0,01/07/2021,278.65,01/01/2022,0.0,1,INDIVIDUAL,2021
431,38604389,41388114,13975,13975,13975.0,60 months,22.99,393.89,F,F1,10+ years,MORTGAGE,66000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,29.0,0,01/11/1993,1,31,18,37,0.0,0.0,1539.86,1539.86,519.3,1020.56,0.0,0.0,0.0,01/05/2021,393.89,01/01/2022,0.0,1,INDIVIDUAL,2021
502,38594765,41378514,12000,12000,12000.0,36 months,11.44,395.37,B,B4,10+ years,MORTGAGE,93000.0,Not Verified,2021-01-01,Charged Off,n,other,12.49,0,01/05/2002,1,48,11,37,0.0,0.0,2759.96,2759.96,2023.94,736.02,0.0,0.0,0.0,01/08/2021,395.37,01/01/2022,0.0,1,INDIVIDUAL,2021
558,38585570,41369357,12000,12000,12000.0,60 months,17.86,303.81,D,D5,10+ years,MORTGAGE,80000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,12.0,0,01/01/2004,1,59,7,16,0.0,0.0,2129.95,2129.95,915.29,1199.47,15.19,0.0,0.0,01/08/2021,303.81,01/01/2022,0.0,1,INDIVIDUAL,2021
