id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,mths_since_last_delinq,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type,year
38655869,41439673,18825,18825,18825.0,60 months,13.66,434.72,C,C3,10+ years,MORTGAGE,52000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,8.98,2,01/10/1994,6,12,11,15,16748.37,16748.37,3883.91,3883.91,2076.63,1807.28,0.0,0.0,0.0,01/10/2021,434.72,01/01/2022,0.0,1,INDIVIDUAL,2021
38644147,41427862,15600,15600,15600.0,36 months,14.99,540.71,C,C5,7 years,RENT,102000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,25.91,0,01/07/1991,3,31,17,39,11940.58,11940.58,5394.11,5394.11,3659.42,1734.69,0.0,0.0,0.0,01/11/2021,540.71,01/01/2022,0.0,1,INDIVIDUAL,2021
38635317,41419102,6000,6000,6000.0,36 months,8.67,189.88,B,B1,10+ years,MORTGAGE,106000.0,Not Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,15.07,0,01/05/1998,0,31,8,42,4487.25,4487.25,1908.02,1908.02,1512.75,380.27,15.0,0.0,0.0,01/11/2021,394.76,01/01/2022,0.0,1,INDIVIDUAL,2021
38635273,41419056,15000,15000,15000.0,36 months,13.507328482328484,471.37,A,A5,5 years,RENT,70000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,11.25,3,01/04/1994,1,7,13,21,11976.55,11976.55,3764.14,3764.14,3023.45,740.69,0.0,0.0,0.0,01/09/2021,471.37,01/09/2021,0.0,1,INDIVIDUAL,2021
38625326,41409103,5000,5000,5000.0,36 months,11.44,164.74,B,B4,9 years,MORTGAGE,35000.0,Not Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,30.18,0,01/09/2000,0,26,11,23,3649.02,3649.02,1808.96,1808.96,1350.98,457.98,0.0,0.0,0.0,01/12/2021,164.74,01/01/2022,0.0,1,INDIVIDUAL,2021
38624121,41407834,8400,8400,8400.0,36 months,13.507328482328484,276.76,B,B4,4 years,MORTGAGE,70000.0,Not Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,10.05,0,01/07/2008,0,31,6,16,6773.05,6773.05,2203.4,2203.4,1626.95,576.45,0.0,0.0,0.0,01/09/2021,276.76,01/01/2022,0.0,1,INDIVIDUAL,2021
38614705,41398455,2500,2500,2500.0,36 months,8.19,78.57,A,A5,10+ years,RENT,70000.0,Not Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,19.82,0,01/03/2002,0,31,11,24,1996.02,1996.02,626.28,626.28,503.98,122.3,0.0,0.0,0.0,01/09/2021,78.57,01/01/2022,0.0,1,INDIVIDUAL,2021
38606166,41389960,24000,24000,24000.0,60 months,8.67,494.37,B,B1,4 years,RENT,110000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,16.35,0,01/10/1997,0,55,16,27,20683.91,20683.91,5009.32,5009.32,3316.09,1693.23,0.0,0.0,0.0,01/12/2021,494.37,01/01/2022,0.0,1,INDIVIDUAL,2021
38595762,41379542,4200,4200,4200.0,36 months,12.99,141.5,C,C2,10+ years,RENT,40000.0,Not Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,27.27,0,01/12/2005,0,31,5,12,3084.54,3084.54,1553.47,1553.47,1115.46,438.01,0.0,0.0,0.0,01/12/2021,141.5,01/01/2022,0.0,1,INDIVIDUAL,2021
38594757,41378504,16475,16475,16475.0,60 months,25.83,491.62,G,G2,2 years,MORTGAGE,55000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,27.58,0,01/09/2008,0,31,11,15,14964.44,14964.44,4868.92,4868.92,1510.56,3358.36,0.0,0.0,0.0,01/11/2021,491.62,01/01/2022,0.0,1,INDIVIDUAL,2021
38585490,41369275,18000,18000,18000.0,60 months,17.14,448.71,D,D4,5 years,OWN,71000.0,Source Verified,2021-01-01,Late (16-30 days),n,other,14.42,0,01/11/1991,1,44,11,22,15735.13,15735.13,4901.53,4901.53,2264.87,2636.66,0.0,0.0,0.0,01/12/2021,448.71,01/01/2022,0.0,1,INDIVIDUAL,2021
